순위,영화명,개봉일,월,누적매출액 ,누적관객수 ,스크린수 ,대표국적 ,국적 ,배급사 ,등급 ,장르 ,감독 ,감독점수,배우 ,주연NO.1,점수,손익분기점
52,내부자들,2015-11-19,11,5.66E+10,7072011,1129,한국,한국,(주)쇼박스,4,"범죄,드라마",우민호,0,"이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,김의성,박진우,남일우,김연지,김진우,문소리,박경순,설우신,손혜진,신정미,윤보배,이선관,이재남,이재정,이주아,신지수,장현준,최정연,황준혁,손종학,조덕제,유재명",이병헌,0.402350027,
42,럭키,2016-10-13,10,5.64E+10,6974389,1234,한국,한국,(주)쇼박스,3,코미디,이계벽,0,"유해진,이준,조윤희,임지연,전혜빈,이동휘,박선용,박은미,정소리,이승철,최시형,홍의권,문광식",유해진,0.705878415,
62,곡성,2016-05-12,5,5.59E+10,6879850,1485,한국,한국,이십세기폭스코리아(주),3,"미스터리,스릴러,드라마",나흥진,0,"곽도원,황정민,쿠니무라 준,천우희,김환희,허진,장소연,김도윤,손강국,전배수,황석정,배용근,배용근,이인철,이용녀,선호삼,송민석,신재현,안수연,이선희,이수빈,이수진,권귀덕,이연,이연경,이연경",곽도원,0.034279593,8160000
73,사도,2015-09-16,9,4.88E+10,6246849,1210,한국,한국,(주)쇼박스,2,"사극,드라마",이준익,0.16552174,"송강호,유아인,문근영,전혜진,김해숙,박원상,진지희,박소담,서예지,이효제,곽동호,최희영,정호,이현철,김상훈,이민혜,김경원,김대환,김민규,양지혜,안현숙,김우진,이대연,최덕문,정석용,최민철,안정우,안태훈,조승연",송강호,0.550682914,8160000
48,덕혜옹주,2016-08-03,8,4.44E+10,5597182,964,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2,"사극,드라마",허진호,0,"손예진,박해일,윤제문,라미란,정상훈,박수영,김소현,박주미,안내상,김재욱,김인우,백윤식,김대명,김정희,박윤식,박지수,박혜영,송민수,송창현,신동주,오세영,이경훈,이명규,이상진,이승진,최영빈,최일순,최정순,한동훈,함성원,홍은지,김무규",손예진,0.022362078,
51,검은 사제들,2015-11-05,11,4.24E+10,5442503,1109,한국,한국,씨제이이앤엠(주),3,"미스터리,드라마",장재현,0,"김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김수진,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철",김윤석,0.227169255,
32,판도라,2016-12-07,12,3.61E+10,4582977,1184,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2,"드라마,판타지",앨버트 르윈,0,"김남길,김영애,문정희,정진영,이경영,강신일,김대명,유승목,김주현,김명민,김동우,김선형,김승배,김영준,김재민,김정훈,김태영,김태현,김태훈,박기태,박선희,박준영,이경재,최우성",김남길,0.133971612,
45,꾼,2017-11-22,11,3.13E+10,4018035,1314,한국,한국,(주)쇼박스,3,범죄,장창원,0.285194115,현빈,현빈,0.153956883,4896000
48,조선명탐정 : 사라진 놉의 딸,2015-02-11,2,3.05E+10,3872015,825,한국,한국,(주)쇼박스,2,"사극,코미디,어드벤처",김석윤,0.175173803,"김명민,오달수,이연희,강다현,전건익,정명철,박지선,배영민,정혜은,조관우,조명행,최지명,송병철,김나현,이경용,이귀현,이낙준,한대룡,이선도,이성동,이용우,김태환,정원중,남윤나,류광일,류현상,최무성,김원해,우현,황정민",김명민,0.228943492,
23,그것만이 내 세상,2018-01-17,1,2.74E+10,3417261,884,한국,한국,씨제이이앤엠(주),2,"코미디,드라마",최성현,0.240079594,"이병헌,윤여정",이병헌,0.402350027,
26,탐정: 리턴즈,2018-06-13,6,2.69E+10,3151245,1137,한국,한국,씨제이이앤엠(주),3,"코미디,범죄,스릴러",이언희,0.205673993,"권상우,성동일,이광수",권상우,0.030396358,4896000
35,극비수사,2015-06-18,6,2.24E+10,2860786,894,한국,한국,(주)쇼박스,3,"드라마,범죄",곽경택,0.015357432,"김윤석,유해진,송영창,장영남,정호빈,이준혁,이종일,장성훈,정규용,정기용,백승호,이효제,최원,송승현,신유경,양중경,유주영,홍명기,이석현,이소영,이승준,이윤희,이인규,주영호,박효주,이재용,남문철",김윤석,0.227169255,
45,탐정 : 더 비기닝,2015-09-24,9,2.05E+10,2625023,764,한국,한국,씨제이이앤엠(주),3,"코미디,범죄",김정훈,0,"권상우,성동일,박해준,이승준,조복래,오정세,박준면,이일화,서영희,강민지,홍서현,천유나,차승연,정종훈,정승연,이현기,이찬희,김승배,김은지,김태훈,김하늘,김희영,모일영,박민철,박성일,박시영,박지혜,최성원,홍은택,이해영,지대한",권상우,0.030396358,
44,아수라,2016-09-28,9,2.06E+10,2593559,1278,한국,한국,씨제이이앤엠(주),4,"범죄,액션",김성수,0,"정우성,황정민,주지훈,곽도원,정만식,김원해,김종수,김해곤,윤지혜,오연아,윤제문,이종성,장근영,박지환,손영진,양영일,유정호,윤성민,이가경,이광기,이상민,채성원,김남조,노남석,박갑진",정우성,0.04268211,9792000
35,보안관,2017-05-03,5,2.08E+10,2587891,1091,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,3,"범죄,코미디",김형주,0,"이성민,조진웅,김성균,김종수,조우진,임현성,배정남",이성민,0.049979914,5440000
